ID,config,goal,goal_type,moveIDs
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",cover green all,cover,"[(77, 58), (73, 60), (80, 66), (71, 48), (72, 86)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",uncover blue all,uncover,"[(76, 75), (84, 60), (73, 92)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",fill nocolor B2,fill,"[(80, 83), (72, 55), (71, 65), 'pass', (84, 64), 'pass', (55, 45), (88, 46), (89, 47), (78, 27), (73, 28), (90, 29), (76, 9), (77, 10), (91, 11)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",clear nocolor B1,clear,"[(78, 92), (80, 74), (96, 83), (98, 75), (97, 64)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",fill nocolor C1,fill,"[(88, 85), (106, 86), (71, 66), 'pass', (63, 67), (81, 68), (89, 48), (105, 49), (107, 50), 'pass', (82, 31), (99, 32), (80, 30), (101, 13), (100, 14), (93, 12)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",cover red all,cover,"[(78, 79), 'pass', (63, 62), 'pass', (73, 54), 'pass', (76, 75), (71, 70), (84, 71), 'pass', (105, 52), 'pass', (82, 61)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",move blue C,move,"[(82, 85), (78, 54), (63, 67), (88, 49), (77, 86), 'pass', (73, 68), (91, 50), (101, 66), (105, 48), (76, 77), (94, 30)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",clear nocolor C1,clear,"[(84, 83), (102, 65), (103, 64), (104, 47)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",uncover green all,uncover,"[(82, 83), (63, 65), (88, 87), (78, 79), (71, 62), (89, 61), (81, 92), (84, 85)]"
94447,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'blue', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'blue', 'white', 'white', 'green', 'blue', 'red', 'white', 'red', 'green', 'blue', 'white', 'green', 'white', 'white', 'white', 'blue', 'red', 'red', 'blue', 'white', 'red', 'blue', 'red', 'green', 'red', 'red', 'green', 'green', 'blue', 'green', 'blue', 'green', 'blue', 'green', 'green']",move green A,move,"[(76, 92), (73, 54), (84, 74), (102, 56), (104, 73), (63, 36), (81, 55), (82, 18), (99, 37), (100, 38), (88, 102), 'pass', (106, 19), (78, 62), (96, 20), 'pass', (71, 106), (89, 85), (107, 2)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",fill nocolor C2,fill,"[(63, 71), 'pass', (81, 88), 'pass', (58, 70), (55, 69), (74, 53), (73, 77), (77, 52), 'pass', (76, 51), 'pass', (78, 35), (84, 34), (99, 33), (97, 17), (95, 16), (72, 15)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",uncover green all,uncover,"[(55, 93), 'pass', (101, 67), 'pass', (78, 66), 'pass', (95, 69), 'pass', (58, 95), 'pass', (73, 58), 'pass', (63, 101), 'pass', (98, 48), 'pass', (89, 98)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",cover green all,cover,"[(58, 93), 'pass', (76, 75), 'pass', (97, 45), 'pass', (100, 71), 'pass', (94, 56), 'pass', (72, 37), 'pass', (101, 86)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",clear nocolor C1,clear,"[(85, 82), 'pass', (84, 83), 'pass', (102, 64), 'pass', (103, 65), 'pass', (104, 47)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",fill nocolor B1,fill,"[(55, 79), 'pass', (63, 80), 'pass', (81, 62), 'pass', (58, 61), 'pass', (74, 60), 'pass', (73, 42), 'pass', (76, 43), 'pass', (72, 44), 'pass', (95, 24), (84, 25), (99, 26), 'pass', (100, 6), 'pass', (101, 7), 'pass', (102, 8)]"
11043,"['white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'green', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'white', 'red', 'red', 'green', 'white', 'red', 'white', 'red', 'white', 'white', 'green', 'white', 'white', 'red', 'blue', 'white', 'blue', 'white', 'green', 'blue', 'green', 'blue', 'white', 'blue', 'red', 'green', 'red', 'blue', 'red', 'blue', 'blue', 'blue', 'red', 'green', 'red', 'blue', 'green']",clear nocolor B1,clear,"[(78, 82), 'pass', (96, 83), 'pass', (97, 64), 'pass', (98, 65)]"
